Lesson;Spanish;German;Wordtype;Gender;Number;LA
4 C;regional;regional;Adjektiv;;;
4 C;el norte;Norden;Nomen;M.;SG;
4 C;la sopa;Suppe;Nomen;F.;SG;
4 C;la mayoría;Mehrheit;Nomen;F.;SG;
4 C;el trabajador;Arbeiter;Nomen;M.;SG;
4 C;la trabajadora;Arbeiterin;Nomen;F.;SG;
4 C;el menú del día;Tagesmenü;Nomen;M.;SG;
4 C;según;laut, nach;Konjunktion;;;
4 C;el estudio;Studie;Nomen;M.;SG;
4 C;reciente;neu, jüngst;Adjektiv;;;
4 C;la cantina;Kantine;Nomen;F.;SG;
4 C;suficiente;genug;Adjektiv;;;
4 C;la cifra;Ziffer;Nomen;F.;SG;
4 C;variar;wechseln, variieren;Verb;;;
4 C;el tamaño;Größe;Nomen;M.;SG;
4 C;grande;groß;Adjektiv;;;
4 C;fuera;außerhalb, draußen;Adverb;;;
4 C;el coste;Kosten, Preis;Nomen;M.;SG;
4 C;por persona;pro Person;Phrase;;;
4 C;entre;zwischen;Konjunktion;;;
4 C;optar por;wählen, sich entscheiden;Verb;;;
4 C;mayoritariamente;überwiegend;Adverb;;;
4 C;la tartera;Tupperdose®, Frischhaltebox;Nomen;F.;SG;
4 C;elegir;auswählen;Verb;;;
4 C;a partir de;ab;Konjunktion;;;
4 C;hay;es gibt;Verb;;;
4 C;el equilibrio;Gleichgewicht;Nomen;M.;SG;
4 C;ambos;beide;Pronomen;;;
4 C;ambas;beide;Pronomen;;;
4 C;la elección;Wahl;Nomen;F.;SG;
4 C;el plato;Gericht;Nomen;M.;SG;
4 C;depender de;abhängig sein von;Verb;;;
4 C;la región;Region, Gebiet;Nomen;F.;SG;
4 C;la cuchara;Löffel;Nomen;F.;SG;
4 C;la zona;Zone;Nomen;F.;SG;
4 C;templado;mild;Adjektiv;M.;SG;
4 C;templada;mild;Adjektiv;F.;SG;
4 C;la verdura;Gemüse;Nomen;F.;SG;
4 C;en general;im Allgemeinen;Phrase;;;
4 C;la carne;Fleisch;Nomen;F.;SG;
4 C;aunque;obwohl;Konjunktion;;;
4 C;aumentar;zunehmen, steigen;Verb;;;
4 C;el porcentaje;Prozentsatz, Anteil;Nomen;M.;SG;
4 C;el pescado;Fisch;Nomen;M.;SG;
4 C;respecto a;bezüglich, hinsichtlich;Phrase;;;
4 C;acompañar;begleiten;Verb;;;
4 C;el encuestado;Befragter;Nomen;M.;SG;
4 C;la encuestada;Befragte;Nomen;F.;SG;
4 C;el agua;Wasser;Nomen;F.;SG;
4 C;la bebida alcohólica;alkoholisches Getränk;Nomen;F.;SG;
4 C;pedir (e -> i);bestellen;Verb;;;
4 C;el vino;Wein;Nomen;M.;SG;
4 C;la barra;Bar (Tresen);Nomen;F.;SG;
4 C;el zumo;Saft;Nomen;M.;SG;
4 C;la naranja;Orange;Nomen;F.;SG;
4 C;el pincho;spanisches Häppchen;Nomen;M.;SG;
4 C;la tortilla;in Spanien: Kartoffelomelette;Nomen;F.;SG;
4 C;la tostada;Toast;Nomen;F.;SG;
4 C;la mantequilla;Butter;Nomen;F.;SG;
4 C;la mermelada;Marmelade;Nomen;F.;SG;
4 C;el bocadillo;belegtes Weißbrot;Nomen;M.;SG;
4 C;el jamón;Schinken;Nomen;M.;SG;
4 C;la ración;Portion;Nomen;F.;SG;
4 C;la botella;Flasche;Nomen;F.;SG;
4 C;la leche;Milch;Nomen;F.;SG;
4 C;la ensalada;Salat;Nomen;F.;SG;
4 C;los calamares;Tintenfischringe;Nomen;M.;PL;
4 C;la paella;spanisches Gericht mit Reis und Meeresfrüchten;Nomen;F.;SG;
4 C;las patatas bravas;spanisches Gericht aus Kartoffeln und scharfer Soße;Nomen;F.;PL;
4 C;al alioli;mit Knoblauchölsoße;Phrase;;;
4 C;el vaso;Glas;Nomen;M.;SG;
4 C;la lata;Dose;Nomen;F.;SG;
4 C;ahora mismo;jetzt gleich;Phrase;;;
4 C;enseguida;sofort;AdVerb;;;
4 C;oiga;Hallo, hören Sie (mal);Phrase;;;
4 C;poner;hier: bringen;Verb;;;
4 C;el agua mineral con gas;Mineralwasser;Nomen;F.;SG;
4 C;desear;wünschen;Verb;;;
4 C;a base de;auf …-basis;Phrase;;;
4 C;el vegetariano;Vegetarier;Nomen;M.;SG;
4 C;la vegetariana;Vegetarierin;Nomen;F.;SG;
4 C;la pasta;Nudeln, Pasta;Nomen;F.;SG;
4 C;el dulce;Süßigkeit;Nomen;M.;SG;
4 C;los cereales;Müsli;Nomen;M.;PL;
4 C;los lácteos;Milchprodukte;Nomen;M.;PL;
4 C;el té;Tee;Nomen;M.;SG;
4 C;el arroz;Reis;Nomen;M.;SG;
4 Proyecto;la rutina diaria;Alltag;Nomen;F.;SG;
4 Proyecto;frecuente;häufig;Adjektiv;;SG;
4 Proyecto;los hábitos alimenticios;Essgewohnheiten;Nomen;M.;PL;
4 Mi gramática;la bicicleta;Fahrrad;Nomen;F.;SG;
4 Mi gramática;¡Qué pena!;Schade!;Phrase;;;
4 Mi gramática;la pasantía;Praktikum;Nomen;F.;SG;
4 Mi gramática;tarde;spät;Adjektiv;;SG;
4 Mi gramática;el examen;Prüfung;Nomen;M.;SG;
4 Mi léxico;jugar;spielen (Sport);Verb;;SG;
4 Mi léxico;el refresco;Erfrischungsgetränk;Nomen;M.;SG;
4 Mi léxico;el tomate;Tomate;Nomen;M.;SG;
4 Mi léxico;el pollo;Hähnchen;Nomen;M.;SG;
4 Mi léxico;la manzana;Apfel;Nomen;F.;SG;
4 Mi léxico;la piña;Ananas;Nomen;F.;SG;
4 Mi léxico;merendar;einen Snack zu sich nehmen;Verb;;SG;
4 Mi léxico;la merienda;kleiner Snack;Nomen;F.;SG;
4 Cultura;la jornada laboral;Arbeitszeit;Nomen;F.;SG;
4 Cultura;ofrecer;anbieten;Verb;;SG;
4 Cultura;adecuado;geeignet, passend;Adjektiv;M.;SG;
4 Cultura;adecuada;geeignet, passend;Adjektiv;F.;SG;
4 Cultura;los años 40;Vierzigerjahre;Nomen;M.;PL;
4 Cultura;la siesta;Siesta;Nomen;F.;SG;
4 Cultura;demasiado;zu;Adjektiv;;SG;
4 Cultura;hay que;man muss;Phrase;;;
4 Cultura;cambiar el chip;umdenken;Phrase;;;
4 Cultura;cambiar;(ver)ändern, tauschen, wechseln;Verb;;SG;
4 Cultura;el chip;Chip;Nomen;M.;SG;
4 Cultura;deber;müssen;Verb;;SG;
4 Cultura;abandonar;aufgeben, verlassen;Verb;;SG;
4 Cultura;mucho;viel;Adjektiv;;SG;
4 Cultura;el oeste;Westen;Nomen;M.;SG;
4 Cultura;adoptar;annehmen;Verb;;SG;
4 Cultura;Canarias;Kanarische Inseln;Nomen;F.;PL;
4 Cultura;Irlanda;Irland;Nomen;N.;SG;
4 Cultura;entre otros;unter anderem;Phrase;;;
4 Cultura;laboral;Arbeits-;Adjektiv;;;
4 Cultura;descanso;Pause, Erholung;Nomen;M.;SG;
4 Cultura;es de locos;es ist verrückt;Phrase;;;
4 Cultura;el loco;Verrückter;Nomen;M.;SG;
4 Cultura;la loca;Verrückte;Nomen;F.;SG;
4 Cultura;la consecuencia;Konsequenz, Folge;Nomen;F.;SG;
4 Cultura;eterno;ewig;Adjektiv;M.;SG;
4 Cultura;eterna;ewige;Adjektiv;F.;SG;
4 Cultura;desestructurado;unstrukturiert;Adjektiv;M.;SG;
4 Cultura;desestructurada;unstrukturierte;Adjektiv;F.;SG;
4 Cultura;proponer;vorschlagen;Verb;;;
4 Cultura;regular;regulieren, regeln;Verb;;;
4 Cultura;comercial;Geschäfts-, kommerziell;Adjektiv;;;
4 Cultura;profesional;beruflich, professionell;Adjektiv;;;
4 Cultura;educativo;Bildungs-;Adjektiv;M.;SG;
4 Cultura;educativa;Erziehungsel;Adjektiv;F.;SG;
4 Cultura;ocio;Freizeit, Nichtstun;Nomen;M.;SG;
4 Cultura;nocturno;Nacht-;Adjektiv;M.;SG;
4 Cultura;nocturna;Nachtavanzar;Adjektiv;F.;SG;
4 Cultura;vorverlegen;vorverlegen;Verb;;;
4 Cultura;la programación;Programm;Nomen;F.;SG;
4 Cultura;la tele;Fernseher;Nomen;F.;SG;
4 Cultura;adecuar;anpassen;Verb;;;
4 Cultura;el europeo;Europäer;Nomen;M.;SG;
4 Cultura;la europea;Europäerin;Nomen;F.;SG;
4 Cultura;por supuesto;selbstverständlich;Phrase;;;
4 Cultura;el cambio;(Ver)änderung;Nomen;M.;SG;
4 Cultura;es decir;das heißt;Phrase;;;
4 Cultura;franquista;franquistisch, der Franco-Zeit;Adjektiv;;;
4 Cultura;la simpatía;Symphatie;Nomen;F.;SG;
4 Cultura;el nacionalsocialismo;Nationalsozialismus;Nomen;M.;SG;
4 Cultura;el pluriempleo;Mehrfachbeschäftigung;Nomen;M.;SG;
4 Cultura;la Guerra Civil;Bürgerkrieg (in Spanien von 1936–1939);Nomen;F.;SG;
4 Cultura;la guerra;Krieg;Nomen;F.;SG;
4 Cultura;utópico;utopisch;Adjektiv;M.;SG;
4 Cultura;utópica;utopische;Adjektiv;F.;SG;
4 Cultura;acercar;annähern, heranbringen;Verb;;;
4 Cultura;latino;Latinoel;Adjektiv;M.;SG;
4 Cultura;latina;Latinoel;Adjektiv;F.;SG;
4 Cultura;parámetro;Parameter;Nomen;M.;SG;
4 Cultura;el griego;Grieche;Nomen;M.;SG;
4 Cultura;la griega;Griechin;Nomen;F.;SG;
4 Cultura;el portugués;Portugiese;Nomen;M.;SG;
4 Cultura;la portuguesa;Portugiesin;Nomen;F.;SG;
4 Cultura;Nápoles;Neapel;Nomen;N.;SG;
4 Cultura;Sicilia;Sizilien;Nomen;N.;SG;
4 Cultura;tan;so;Adverb;;;
4 Cultura;mediterráneo;mediterran, Mittelmeer-;Adjektiv;M.;SG;
4 Cultura;mediterránea;mediterran, Mittelmeer-;Adjektiv;F.;SG;
4 Cultura;tanto;so viel;Adverb;;;
4 Cultura;el sol;Sonne;Nomen;M.;SG;
4 Cultura;la excusa;Entschuldigung;Nomen;F.;SG;
4 Cultura;absurdo;absurd;Adjektiv;M.;SG;
4 Cultura;absurda;absurde;Adjektiv;F.;SG;
4 Cultura;el comercio;Handel, Gewerbe;Nomen;M.;SG;
4 Cultura;el local;Club;Nomen;M.;SG;
4 AB;normalmente;normalerweise;AdVerb;;;
4 AB;delicioso;köstlich, wunderbar;Adjektiv;M.;SG;
4 AB;deliciosa;köstliche, wunderbare;Adjektiv;F.;SG;
4 AB;relajarse;sich entspannen;Verb;;;
4 AB;pedir;bitten um;Verb;;;
4 AB;pensar;denken;Verb;;;
4 AB;mismo;gleich;Adjektiv;M.;SG;
4 AB;misma;gleiche;Adjektiv;F.;SG;
4 AB;entrenar;trainieren;Verb;;;
4 AB;el equipo;Team;Nomen;M.;SG;
4 AB;el partido;Spiel;Nomen;M.;SG;
4 AB;la letra;Buchstabe;Nomen;F.;SG;
4 AB;el horario;Öffnungszeiten;Nomen;M.;SG;
4 AB;la secretaría;Sekretariat;Nomen;F.;SG;
4 AB;la pausa;Pause;Nomen;F.;SG;
4 AB;alrededor de;um ... herum;Präposition;;;
4 AB;despertarse;aufwachen;Verb;;;
4 AB;temprano;früh;AdVerb;;;
4 AB;generalmente;im Allgemeinen, normalerweise;AdVerb;;;
4 AB;incluso;sogar;AdVerb;;;
4 AB;especificar;spezifizieren;Verb;;;
4 AB;el momento;Moment;Nomen;M.;SG;
4 AB;exacto;exakt, genau;Adjektiv;M.;SG;
4 AB;exacta;exakte, genaue;Adjektiv;F.;SG;
4 AB;la suerte;Glück;Nomen;F.;SG;
4 AB;puntual;pünktlich;Adjektiv;;;
4 AB;la compra;Einkauf;Nomen;F.;SG;
4 AB;las noticias;Nachrichten;Nomen;F.;PL;
4 AB;la prensa;Presse;Nomen;F.;SG;
4 AB;digital;digital;Adjektiv;;;
4 AB;llegar;ankommen;Verb;;;
4 AB;la discoteca;Diskothek;Nomen;F.;SG;
4 AB;ideal;ideal;Adjektiv;;;
4 AB;la jarra;Krug;Nomen;F.;SG;
4 AB;el cruasán;Croissant;Nomen;M.;SG;
4 AB;el crep;Crêpe;Nomen;M.;SG;
4 AB;el intruso;Eindringling, Störenfried;Nomen;M.;SG;
4 AB;el cava;spanischer Sekt;Nomen;M.;SG;
4 AB;el atún;Thunfisch;Nomen;M.;SG;
4 AB;frío;kalt;Adjektiv;M.;SG;
4 AB;fría;kalte;Adjektiv;F.;SG;
5;¿A qué país quieres viajar?;In welches Land möchtest du reisen?;Phrase;;;
5;relacionar;in Zusammenhang bringen, zuordnen;Verb;;;
5;el texto;Text;Nomen;M.;SG;
5;la catarata;Wasserfall;Nomen;F.;SG;
5;mayor;größter;Adjektiv;;;
5;el espectáculo;Schauspiel, Spektakel;Nomen;M.;SG;
5;la selva;Urwald;Nomen;F.;SG;
5;el lago;See;Nomen;M.;SG;
5;el paseo;Spaziergang, Spazierfahrt;Nomen;M.;SG;
5;navegable;schiffbar;Adjektiv;;;
5;alto;hoch;Adjektiv;M.;;
5;alta;hohe;Adjektiv;F.;;
5;aislado;abgeschieden, isoliert;Adjektiv;M.;;
5;aislada;abgeschiedene, isolierte;Adjektiv;F.;;
5;misterioso;geheimnisvoll, mysteriös;Adjektiv;M.;;
5;misteriosa;geheimnisvolle, mysteriöse;Adjektiv;F.;;
5;comparar;vergleichen;Verb;;;
5;la maravilla;Wunder;Nomen;F.;SG;
5;la cumbre;Gipfel;Nomen;F.;SG;
5;terrestre;Erd-;Adjektiv;;;
5;cercano;nah;Adjektiv;M.;;
5;cercana;nahe;Adjektiv;F.;;
5;el parque natural;Naturschutzpark;Nomen;M.;SG;
5;el parque;Park;Nomen;M.;SG;
5;salvaje;wild;Adjektiv;;;
5;el resto;Rest;Nomen;M.;SG;
5;arqueológico;archäologisch;Adjektiv;M.;;
5;arqueológica;archäologische;Adjektiv;F.;;
5 A;el viaje;Reise;Nomen;M.;SG;
5 A;el plan;Plan;Nomen;M.;SG;
5 A;anotar;notieren;Verb;;;
5 A;el destino;(Reise)ziel;Nomen;M.;SG;
5 A;la flora;Flora, Pflanzenwelt;Nomen;F.;SG;
5 A;la cordillera;Gebirgskette;Nomen;F.;SG;
5 A;andino;Anden-;Adjektiv;M.;;
5 A;andina;Anden-;Adjektiv;F.;;
5 A;la belleza;Schönheit;Nomen;F.;SG;
5 A;natural;Natur-, natürlich;Adjektiv;;;
5 A;investigar;untersuchen, erforschen;Verb;;;
5 A;el calentamiento;Erwärmung;Nomen;M.;SG;
5 A;el planeta;Planet;Nomen;M.;SG;
5 A;interesar;interessieren;Verb;;;
5 A;el pueblo;Volk;Nomen;M.;SG;
5 A;maya;Maya;Nomen;;;
5 A;antiguo;alt;Adjektiv;M.;SG;
5 A;antigua;alte;Adjektiv;F.;SG;
5 A;especialmente;besonders, speziell;Adverb;;;
5 A;precolombino;präkolumbisch;Adjektiv;M.;SG;
5 A;precolombina;präkolumbische;Adjektiv;F.;SG;
5 A;venir;kommen;Verb;;;
5 A;escalar;bergsteigen, klettern;Verb;;;
5 A;los Andes;Anden;Nomen;M.;PL;
5 A;el tipo;Art;Nomen;M.;SG;
5 A;la ecología;Ökologie;Nomen;F.;SG;
5 A;al aire libre;im Freien;Phrase;;;
5 A;el aire;Luft;Nomen;M.;SG;
5 A;libre;frei;Adjektiv;M.;SG;
5 A;la aventura;Abenteuer;Nomen;F.;SG;
5 A;el lejano oriente;Ferner Osten;Nomen;M.;SG;
5 A;lejano;fern;Adjektiv;M.;SG;
5 A;lejana;ferne;Adjektiv;F.;SG;
5 A;descubrir;entdecken;Verb;;;
5 A;voluntario;freiwillig;Adjektiv;M.;SG;
5 A;voluntaria;freiwillige;Adjektiv;F.;SG;
5 A;Tailandia;Thailand;Nomen;F.;SG;
5 A;Indonesia;Indonesien;Nomen;F.;SG;
5 A;descansar;sich ausruhen;Verb;;;
5 A;cultural;kulturell, Kulturtomar;Adjektiv;M.;SG;
5 A;el sol;sich sonnen;Nomen;M.;SG;
5 A;el gusto;Vorliebe, Geschmack;Nomen;M.;SG;
5 A;el interés;Interesse;Nomen;M.;SG;
5 A;me;mir;Pronomen;;;
5 A;te;dir;Pronomen;;;
5 A;le;ihm/ihr;Pronomen;;;
5 A;nos;uns;Pronomen;;;
5 A;les;ihnen;Pronomen;;;
5 A;ni… ni...;weder… noch;Konjunktion;;;
5 A;la situación;Situation;Nomen;F.;SG;
5 A;marcar;markieren, kennzeichnen;Verb;;;
5 A;la preferencia;Vorliebe;Nomen;F.;SG;
5 A;la montaña;Berg;Nomen;F.;SG;
5 A;el campo;Land, Feld;Nomen;M.;SG;
5 A;el camping;Campinglatz;Nomen;M.;SG;
5 A;el hostal;Hostel;Nomen;M.;SG;
5 A;el apartamento;Wohnung, Appartment;Nomen;M.;SG;
5 A;alojarse;unterkommen;Verb;;;
5 B;el concurso;Wettbewerb;Nomen;M.;SG;
5 B;América Latina;Lateinamerika;Nomen;F.;SG;
5 B;el cerro;Hügel;Nomen;M.;SG;
5 B;el camino;Weg;Nomen;M.;SG;
5 B;inca;Inkael;Nomen;M.;SG;
5 B;Amazonas;Amazonas;Nomen;M.;SG;
5 B;el pico;Gipfel;Nomen;M.;SG;
5 B;seco;trocken;Adjektiv;M.;SG;
5 B;seca;trocken;Adjektiv;F.;SG;
5 B;el sendero;Pfad, Weg;Nomen;M.;SG;
5 B;el glaciar;Gletscher;Nomen;M.;SG;
5 B;la Patagonia;Patagonien;Nomen;F.;SG;
5 B;el río;Fluss;Nomen;M.;SG;
5 B;fascinante;faszinierend;Adjektiv;;SG;
5 B;enviar;schicken, senden;Verb;;;
5 B;ganar;gewinnen;Verb;;;
5 B;el billete;Ticket;Nomen;M.;SG;
5 B;el avión;Flugzeug;Nomen;M.;SG;
5 B;esperar;erwarten;Verb;;;
5 B;el Rin;Rhein;Nomen;M.;SG;
5 B;espectacular;sensationell, spektakulär;Adjektiv;;SG;
5 B;hermoso;wunderschön;Adjektiv;M.;SG;
5 B;hermosa;wunderschön;Adjektiv;F.;SG;
5 B;la primavera;Frühling;Nomen;F.;SG;
5 B;el verano;Sommer;Nomen;M.;SG;
5 B;el otoño;Herbst;Nomen;M.;SG;
5 B;el invierno;Winter;Nomen;M.;SG;
5 B;¿Qué tiempo hace?;Wie ist das Wetter?;Phrase;;;
5 B;Hace calor.;Es ist heiß.;Phrase;;;
5 B;el calor;Hitze, Wärme;Nomen;M.;SG;
5 B;Hace frío.;Es ist kalt.;Phrase;;;
5 B;el frío;Kälte;Nomen;M.;SG;
5 B;Hace sol.;Es ist sonnig.;Phrase;;;
5 B;Hace viento.;Es ist windig.;Phrase;;;
5 B;el viento;Wind;Nomen;M.;SG;
5 B;Hace buen tiempo.;Es ist gutes Wetter.;Phrase;;;
5 B;el tiempo;Wetter;Nomen;M.;SG;
5 B;Hace mal tiempo.;Es ist schlechtes Wetter.;Phrase;;;
5 B;Llueve.;Es regnet.;Phrase;;;
5 B;Nieva.;Es schneit.;Phrase;;;
5 B;Hay niebla.;Es ist neblig.;Phrase;;;
5 B;la niebla;Nebel;Nomen;F.;SG;
5 B;Hay tormenta.;Es gibt ein Gewitter/Unwetter.;Phrase;;;
5 B;la tormenta;Gewitter, Sturm;Nomen;F.;SG;
5 B;Está nublado.;Es ist bewölkt.;Phrase;;;
5 B;Está despejado.;Es ist heiter/wolkenlos.;Phrase;;;
5 B;el pronóstico meteorológico;Wetterbericht;Nomen;M.;SG;
5 B;chico;klein;Adjektiv;M.;SG;LA
5 B;chica;klein;Adjektiv;F.;SG;LA
5 B;central;Zentral-, zentral;Adjektiv;;SG;
5 B;el sur;Süden;Nomen;M.;SG;
5 B;austral;südlich;Adjektiv;;SG;
5 C;la situación;Lage;Nomen;F.;SG;
5 C;dividirse;aufteilen in;Verb;;;
5 C;geográfico;geographisch;Adjektiv;M.;SG;
5 C;geográfica;geographische;Adjektiv;F.;SG;
5 C;amazónico;Amazonas;Adjektiv;M.;SG;
5 C;amazónica;Amazonas;Adjektiv;F.;SG;
5 C;la sierra;Gebirgskette;Nomen;F.;SG;
5 C;la costa;Küste;Nomen;F.;SG;
5 C;el Pacífico;Pazifik;Nomen;M.;SG;
5 C;las Islas Galápagos;Galapagosinseln;Nomen;F.;PL;
5 C;situarse;sich befinden;Verb;;;
5 C;la Línea Equinoccial;Äquator;Nomen;F.;SG;
5 C;tropical;tropisch;Adjektiv;;;
5 C;húmedo;feucht;Adjektiv;M.;SG;
5 C;húmeda;feuchte;Adjektiv;F.;SG;
5 C;diciembre;Dezember;Nomen;M.;SG;
5 C;mayo;Mai;Nomen;M.;SG;
5 C;junio;Juni;Nomen;M.;SG;
5 C;la diferencia;Unterschied;Nomen;F.;SG;
5 C;la temperatura;Temperatur;Nomen;F.;SG;
5 C;por ejemplo;zum Beispiel;Phrase;;;
5 C;el ejemplo;Beispiel;Nomen;M.;SG;
5 C;oscilar;schwanken (Temperatur);Verb;;;
5 C;la altura;Höhe;Nomen;F.;SG;
5 C;aproximadamente;etwa, circa;AdVerb;;;
5 C;la población;Bevölkerung;Nomen;F.;SG;
5 C;el millón;Million;Nomen;M.;SG;
5 C;el ecuatoriano;Ecuadorianer;Nomen;M.;SG;
5 C;la ecuatoriana;Ecuadorianerin;Nomen;F.;SG;
5 C;último;letzter;Adjektiv;M.;SG;
5 C;última;letzte;Adjektiv;F.;SG;
5 C;el centro financiero;Finanzzentrum;Nomen;M.;SG;
5 C;la altitud;Höhe;Nomen;F.;SG;
5 C;segundo;zweiter;Adjektiv;M.;SG;
5 C;segunda;zweite;Adjektiv;F.;SG;
5 C;poseer;besitzen;Verb;;;
5 C;histórico;geschichtlich, historisch;Adjektiv;M.;SG;
5 C;histórica;geschichtlich, historisch;Adjektiv;F.;SG;
5 C;mejor conservado;am besten erhalten;Phrase;;;
5 C;formar parte;gehören zu;Phrase;;;
5 C;la lista;Liste;Nomen;F.;SG;
5 C;declarar;erklären;Verb;;;
5 C;el Patrimonio de la Humanidad de la UNESCO;UNESCO-Weltkulturerbe;Nomen;M.;SG;
5 C;la biodiversidad;Artenvielfalt;Nomen;F.;SG;
5 C;la reserva ecológica;Naturschutzgebiet;Nomen;F.;SG;
5 C;el bosque;Wald;Nomen;M.;SG;
5 C;el apartado;Absatz;Nomen;M.;SG;
5 C;la época seca;Trockenzeit;Nomen;F.;SG;
5 C;la época;Epoche, Zeitraum;Nomen;F.;SG;
5 C;más de;mehr als;Phrase;;;
5 C;completar;ergänzen, vervollständigen;Verb;;;
5 C;la información;Information;Nomen;F.;SG;
5 C;principal;Haupt-;Adjektiv;;;
5 C;¿Dónde está Quito?;Wo liegt Quito?;Phrase;;;
5 C;en el norte;im Norden;Phrase;;;
5 C;en el sur;im Süden;Phrase;;;
5 C;en el este;im Osten;Phrase;;;
5 C;en el oeste;im Westen;Phrase;;;
5 C;algo;etwas;Pronomen;;;
5 C;el servicio;Service, Dienst;Nomen;M.;SG;
5 C;el intercambio;Austausch;Nomen;M.;SG;
5 C;académico;akademisch;Adjektiv;M.;SG;
5 C;académica;akademisch;Adjektiv;F.;SG;
5 C;cursar;belegen (Kurs), studieren;Verb;;;
5 C;solicitar;sich bewerben um;Verb;;;
5 C;el voluntariado;Freiwilligenarbeit;Nomen;M.;SG;
5 C;el periodo;Periode, Zeitraum;Nomen;M.;SG;
5 C;asistir;besuchen, teilnehmen an;Verb;;;
5 C;preparar;vorbereiten;Verb;;;
5 C;la moneda;Währung;Nomen;F.;SG;
5 C;el producto;Produkt;Nomen;M.;SG;
5 C;el habitante;Bewohner;Nomen;M.;SG;
5 C;la habitante;Bewohnerin;Nomen;F.;SG;
5 C;la ficha;Karteikarte;Nomen;F.;SG;
5 C;el Internet;Internet;Nomen;M.;SG;
5 C;la nota;Notiz;Nomen;F.;SG;
5 Proyecto;el anuncio;Anzeige;Nomen;M.;SG;
5 Proyecto;en torno a;um…herum;Phrase;;;
5 Proyecto;disfrutar de;genießen;Verb;;;
5 Proyecto;el encanto;Zauber, Reiz, Charme;Nomen;M.;SG;
5 Proyecto;apasionante;begeisternd, mitreißend;Adjektiv;;;
5 Proyecto;estar situado;liegen (Stadt, Land);Adjektiv;M.;SG;
5 Proyecto;estar situada;liegen (Stadt, Land);Adjektiv;F.;SG;
5 Proyecto;el distrito;Bezirk;Nomen;M.;SG;
5 Proyecto;hacer surf;surfen;Phrase;;;
5 Proyecto;simplemente;einfach, bloß;AdVerb;;;
5 Proyecto;el visitante;Besucher;Nomen;M.;SG;
5 Proyecto;la visitante;Besucherin;Nomen;F.;SG;
5 Proyecto;la atracción;Attraktion, Charme;Nomen;F.;SG;
5 Proyecto;el kayak;Kayak, Kayakfahren;Nomen;M.;SG;
5 Proyecto;el senderismo;Wandern;Nomen;M.;SG;
5 Proyecto;el parapente;Gleitschirmfliegen;Nomen;M.;SG;
5 Proyecto;la visita;Besuch;Nomen;F.;SG;
5 Proyecto;la cena;Abendessen;Nomen;F.;SG;
5 Proyecto;el ambiente;Umgebung;Nomen;M.;SG;
5 Proyecto;la proyección;Vorführung, Projektion;Nomen;F.;SG;
5 Proyecto;la película;Film;Nomen;F.;SG;
5 Proyecto;la enseñanza;Unterricht;Nomen;F.;SG;
5 Proyecto;el extranjero;Ausländer;Nomen;M.;SG;
5 Proyecto;la extranjera;Ausländerin;Nomen;F.;SG;
5 Proyecto;a través de;durch, über;Phrase;;;
5 Proyecto;de excelencia;schlechthin, überhaupt;Phrase;;;
5 Proyecto;la terma;Therme;Nomen;F.;SG;
5 Proyecto;la variedad;Vielfalt, Varietät;Nomen;F.;SG;
5 Proyecto;la alternativa;Alternative;Nomen;F.;SG;
5 Proyecto;la sesión;hier: Teil;Nomen;F.;SG;
5 Proyecto;el bloque;Block;Nomen;M.;SG;
5 Proyecto;la pausa;Pause;Nomen;F.;SG;
5 Proyecto;el vocabulario;Vokabular;Nomen;M.;SG;
5 Proyecto;practicaremos (Inf practicar);wir werden üben;Verb;;;
5 Mi gramática;la salsa;Salsa (Tanz);Nomen;F.;SG;
5 Mi gramática;la galería de arte;Kunstgalerie;Nomen;F.;SG;
5 Mi gramática;la combinación;Verbindung;Nomen;F.;SG;
5 Mi gramática;el elemento;Element;Nomen;M.;SG;
5 Mi gramática;la columna;Spalte;Nomen;F.;SG;
5 Mi gramática;formular;formulieren;Verb;;SG;
5 Mi gramática;hispanoamericano;lateinamerikanisch;Adjektiv;M.;SG;
5 Mi gramática;hispanoamericana;lateinamerikanisch;Adjektiv;F.;SG;
5 Mi gramática;quechua;Quechua;Nomen;;SG;
5 Mi gramática;el boliviano;Boliviano (Währung Boliviens);Nomen;M.;SG;
5 Mi gramática;el argentino;Argentinier;Nomen;M.;SG;
5 Mi gramática;la argentina;Argentinierin;Nomen;F.;SG;
5 Mi gramática;el peso;Währung in einigen südamerikanischen Ländern;Nomen;M.;SG;
5 Mi gramática;oficial;offiziell;Adjektiv;;SG;
5 Mi gramática;gallego;Galizisch;Nomen;;SG;
5 Mi gramática;euskera;Baskisch;Nomen;;SG;
5 Mi gramática;castellano;Kastilisch;Nomen;;SG;
5 Mi léxico;enero;Januar;Nomen;;SG;
5 Mi léxico;febrero;Februar;Nomen;;SG;
5 Mi léxico;marzo;März;Nomen;;SG;
5 Mi léxico;abril;April;Nomen;;SG;
5 Mi léxico;julio;Juli;Nomen;;SG;
5 Mi léxico;agosto;August;Nomen;;SG;
5 Mi léxico;octubre;Oktober;Nomen;;SG;
5 Mi léxico;noviembre;November;Nomen;;SG;
5 Mi léxico;el adjetivo;Adjektiv;Nomen;M.;SG;
5 Mi léxico;varios;mehrere;Adjektiv;M.;PL;
5 Mi léxico;varias;mehrere;Adjektiv;F.;PL;
5 Mi léxico;la posibilidad;Möglichkeit;Nomen;F.;SG;
